Artigo,Data,Kg
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,07/09/2017,3891
SALDO DE PUE,07/09/2017,2155
ELASTANO 70DEN(7.8TEX) 100%PUE SO,07/09/2017,2569
ELASTANO 70DEN(7.8TEX) 100%PUE BR,07/09/2017,2333
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,07/09/2017,3610
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,07/09/2017,4465
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,07/09/2017,785
FDY 150/96DEN(16.7TEX) 100%PES SO,08/09/2017,3540
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,09/09/2017,2290
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,09/09/2017,4580
GENTOS 130/384DEN(14.4TEX) 100%PES SO,10/09/2017,2910
PES/CV CONV. 40/1NE(14.9TEX) 50%PES 50%CV,10/09/2017,4627
PES FIADO OE 30/1NE(19.8TEX) 100%PES,11/09/2017,1789
SDY 150/96DEN(16.7TEX) 100%PES SO,11/09/2017,3249
POY 250/48DEN(27.8TEX) 100%PES SO,12/09/2017,237
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,12/09/2017,1951
DTY 300/96DEN(33.3TEX) 2H 0T 100%PES SO,12/09/2017,945
SDY 200/10DEN(22.2TEX) 100%PES SO,13/09/2017,2836
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,13/09/2017,427
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,14/09/2017,1530
PES/CV CONV. 40/1NE(14.9TEX) 52%PES 48%CV,15/09/2017,2295
DTY 75/72DEN(8.3TEX) 2H MI 100%PES SO,15/09/2017,4836
SDY 100/36DEN(11.1TEX) 100%PES SO,16/09/2017,396
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,16/09/2017,1905
DTY 150/48DEN(16.7TEX) 0T 100%PES,17/09/2017,4708
POY 270/48DEN(30TEX) 100%PES SO,18/09/2017,4701
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,18/09/2017,1788
POY 130/72DEN(14.4TEX) 100%PES SO,19/09/2017,1828
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,19/09/2017,4287
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,19/09/2017,1659
DTY 2X70/72DEN(15.6TEX) 100%PA(PA 6) FD,20/09/2017,2549
DTY 75/34DEN(8.3TEX) MI 100%PES SO,21/09/2017,4086
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,22/09/2017,149
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,23/09/2017,2956
DTY 150/108DEN(16.7TEX) LI 100%PES SO,23/09/2017,3606
FIO MX-1/69 108DEN(12TEX) 55%PES 45%PA BR,23/09/2017,3680
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,23/09/2017,2069
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,23/09/2017,996
DTY 70/36DEN(7.8TEX) 100%PA SO,23/09/2017,819
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,23/09/2017,286
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,23/09/2017,4102
PES FIADO 120 - 5.000mt 100%PES  - CREME,24/09/2017,2533
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,24/09/2017,1087
ALGODAO CONV. 40/1NE(14.9TEX) 100%CO,25/09/2017,3031
DTY 70/36DEN(7.8TEX) 100%PA SO,25/09/2017,411
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,26/09/2017,281
LINACEO TP 167/48DEN(18.6TEX) 2H 0T 100%PES SO,26/09/2017,748
LINACEO TP 167/48DEN(18.6TEX) 2H 0T 100%PES SO,26/09/2017,3099
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,27/09/2017,304
PES FIADO FLAME CONV 30/1NE(19.8TEX) 100%PES,28/09/2017,2087
CV/CO OPEN END 30/1NE(19.8TEX) 80%CV 20%CO,29/09/2017,277
KITE 115/39DEN(12.8TEX) 84%PES 16%PUE SO,30/09/2017,1257
DTY 150/48DEN(16.7TEX) 100%PES,01/10/2017,504
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,02/10/2017,4716
ICESPIN-12 100/24DEN(11.1TEX) 1200T 100%PA SO,02/10/2017,1651
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,02/10/2017,1994
RESÍDUO DE POY PES100% SACO,03/10/2017,3804
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,04/10/2017,4572
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,04/10/2017,4054
ELASTANO 20DEN(2.2TEX) 100%PUE BR,05/10/2017,2821
FIO MX-1/100 65DEN(7.2TEX) 51%PES 49%PA BR,06/10/2017,3770
ELASTANO 15DEN(1.7TEX) 100%PUE BR,06/10/2017,3979
CHUVISCO 162/48DEN(18TEX) 100%PES SO,07/10/2017,2623
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,07/10/2017,525
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,07/10/2017,3909
HMY 150/288DEN(16.7TEX) 100%PES SO,08/10/2017,3940
FIO MX-1/69 108DEN(12TEX) 62%PES 38%PA BR,09/10/2017,2685
DTY 75/72DEN(8.3TEX) HI 100%PES SO,09/10/2017,4778
DTY 75/36DEN(8.3TEX) 100%PA SO,10/10/2017,2752
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,11/10/2017,4273
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,12/10/2017,4214
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,13/10/2017,3482
GENTOS 65/192DEN(7.2TEX) 100%PES SO,13/10/2017,3059
ALGODAO OE 24/1NE(24.TEX) 100%CO,14/10/2017,276
ELASTANO 20DEN(2.2TEX) 100%PUE BR,15/10/2017,985
SDY 360/12DEN(40TEX) 100%PA SO,15/10/2017,1070
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,15/10/2017,3821
HMY 150/288DEN(16.7TEX) 100%PES SO,15/10/2017,318
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA BR,15/10/2017,3796
ELASTANO 15DEN(1.7TEX) 100%PUE BR,16/10/2017,2283
ELASTANO 140DEN(15.6TEX) 100%PUE SO,17/10/2017,3909
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,17/10/2017,2839
RESIDUO DE SDY PES100% SACOS,17/10/2017,1497
DTY 100/96DEN(11.1TEX) 100%PES SO,18/10/2017,1007
SDY 100/34DEN(11.1TEX) 100%PES SO,18/10/2017,3885
PES FIADO 120 - 5.000mt 100%PES  - BRANCO,19/10/2017,870
DTY 150/48DEN(16.7TEX) 0T 100%PES,20/10/2017,3654
ELASTANO 20/2DEN(2.2TEX) 100%PUE SO,21/10/2017,3184
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,21/10/2017,1098
ELASTANO 140DEN(15.6TEX) 100%PUE SO,22/10/2017,1550
POY 250/108DEN(27.8TEX) 100%PES SO,23/10/2017,2958
PES FIADO FLAME CONV 30/1NE(19.8TEX) 100%PES,23/10/2017,3153
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,23/10/2017,2984
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,24/10/2017,4738
ELASTANO 70DEN(7.8TEX) 100%PUE BR,25/10/2017,2583
GENTOS 65/192DEN(7.2TEX) 100%PES SO,26/10/2017,533
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,27/10/2017,776
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,27/10/2017,2555
DTY 150/48DEN(16.7TEX) 0T 100%PES,28/10/2017,317
SENSE 100/48DEN(11.1TEX) 1000T 100%PES SO,29/10/2017,763
ELASTANO 70DEN(7.8TEX) 100%PUE BR,30/10/2017,2185
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,31/10/2017,3762
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,31/10/2017,2426
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,31/10/2017,1557
PES FIADO OE 30/1NE(19.8TEX) 100%PES,31/10/2017,3097
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,01/11/2017,1938
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,01/11/2017,3481
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,02/11/2017,2087
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,02/11/2017,1796
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,03/11/2017,1303
ELASTANO 30DEN(3.3TEX) 100%PUE BR,03/11/2017,2799
FIO MX-1/69 108DEN(12TEX) 100%PA BR,04/11/2017,2420
CRISPY 20DEN(2.2TEX) 100%PES SO,04/11/2017,2906
DTY 75/36DEN(8.3TEX) 100%PA SO,04/11/2017,656
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,05/11/2017,4112
ELASTANO 20/1DEN(2.2TEX) 100%PUE SO,06/11/2017,563
ELASTANO 36DEN(4TEX) 100%PUE SO,07/11/2017,1334
GENTOS 130/408DEN(14.4TEX) 100%PES SO,07/11/2017,1419
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,08/11/2017,3051
ELASTANO 40DEN(4.4TEX) 100%PUE SO,09/11/2017,4700
DTY 300/72DEN(33.3TEX) 100%PES SO,09/11/2017,778
ATY 180/96DEN(20.TEX) 100%PA(PA 6) FD,10/11/2017,1600
SDY 20DEN(2.2TEX) 100%PES SO,11/11/2017,4215
ELASTANO 70DEN(7.8TEX) 100%PUE SO,11/11/2017,4474
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,11/11/2017,3878
SDY 45/36DEN(5TEX) 100%PES SO,12/11/2017,4309
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,12/11/2017,2048
CV/PES OE 30/1NE(19.8TEX) 92%CV 8%PES,13/11/2017,4234
SDY 100/36DEN(11.1TEX) 100%PES SO,13/11/2017,2898
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,14/11/2017,262
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,15/11/2017,3635
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA BR,15/11/2017,4166
SDY 240/12DEN(26.7TEX) 100%PA SO,16/11/2017,3943
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV CONE MESCLA MEDIO,16/11/2017,325
SDY 33/10DEN(3.7TEX) 100%PA SO,17/11/2017,2447
BAMBOO CONV. 32/1NE(18.6TEX) 100%CV,18/11/2017,4320
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,19/11/2017,4397
LINACEO 167/48DEN(18.6TEX) 0T 100%PES SO,19/11/2017,1511
DTY 100/108DEN(11.1TEX) MI 100%PES SO,20/11/2017,3279
SSY 100/24DEN(11.1TEX) 100%PES SO,21/11/2017,3704
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,21/11/2017,3610
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,21/11/2017,623
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,22/11/2017,2617
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,23/11/2017,2562
CO/PES BLEND 30/1NE(19.8TEX) 60%CO 40%PES,23/11/2017,1503
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,23/11/2017,2164
GENTOS 130/408DEN(14.4TEX) 100%PES SO,23/11/2017,2879
SDY 150/48DEN(16.7TEX) 100%PES BR,24/11/2017,2517
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,25/11/2017,3868
SALDO DE POY PES100%,25/11/2017,199
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,26/11/2017,206
RED SPIN 90/21DEN(10TEX) 300T 93%PA 7%PUE SO,27/11/2017,883
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,28/11/2017,4814
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,28/11/2017,4031
ALGODAO OE 30/1NE(19.8TEX) 100%CO,28/11/2017,3059
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,29/11/2017,1910
ALGODAO OE 30/1NE(19.8TEX) 100%CO,29/11/2017,3513
SDY 150/48DEN(16.7TEX) 100%PES BR,29/11/2017,2974
SDY 240/12DEN(26.7TEX) 100%PES SO,30/11/2017,2894
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,01/12/2017,350
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,02/12/2017,2513
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,03/12/2017,4555
PES FIADO 120 - 5.000mt 100%PES  - CREME,04/12/2017,2919
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,04/12/2017,3681
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%PES BR,04/12/2017,4543
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,04/12/2017,2201
FIO MX-1/100 55DEN(6.1TEX) 59%PA 41%PES BR,04/12/2017,3480
LINACEO TP 150/108DEN(16.7TEX) 2H 0T 100%PES SO,05/12/2017,3118
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,06/12/2017,1808
CO/PES PENTEADO 30/1NE(19.8TEX) 50%CO 50%PES,07/12/2017,2500
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,08/12/2017,409
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,09/12/2017,3944
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,09/12/2017,4431
ELASTANO 20/2DEN(2.2TEX) 100%PUE SO,09/12/2017,3778
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,10/12/2017,1496
ALGODAO OE 24/1NE(24.TEX) 100%CO,11/12/2017,461
ALGODAO FLAME PENT. 40/1NE(14.9TEX) 100%CO,11/12/2017,849
SANTE 110/72DEN(12.2TEX) 1200T 100%PES SO,12/12/2017,2923
ICESPOL 145/60DEN(16.1TEX) 52%PES 48%PA SO,13/12/2017,4036
VISCOSE CONV. 40/1NE(14.9TEX) 100%CV,13/12/2017,1374
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,14/12/2017,1425
RESIDUO DE SDY PES100% SACOS,14/12/2017,3065
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,15/12/2017,1259
ALGODAO OE 26/1NE(22.7TEX) 100%CO,16/12/2017,1383
CRISPY 20DEN(2.2TEX) 100%PES SO,16/12/2017,2084
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,16/12/2017,1961
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6) SO,16/12/2017,1307
SDY 30DEN(3.3TEX) 100%PES SO,16/12/2017,693
SDY 150/48DEN(16.7TEX) 100%PES BR,17/12/2017,682
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,17/12/2017,310
FORBES 6 370/99DEN(41.1TEX) 94%PES 6%PUE SO,18/12/2017,1720
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,19/12/2017,4036
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,19/12/2017,1006
ELASTANO 70DEN(7.8TEX) 100%PES OP,20/12/2017,2506
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,20/12/2017,3824
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,21/12/2017,3391
ATY 200/96DEN(22.2TEX) 100%PA(PA 6) FD,21/12/2017,368
SALDO DE POY PES100%,21/12/2017,2418
ALGODAO OE 10/1NE(59.5TEX) 100%CO,21/12/2017,4570
FIO MX-1/69 108DEN(12TEX) 55%PES 45%PA BR,22/12/2017,1556
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,22/12/2017,4304
LINACEO TP 300/216DEN(33.3TEX) 2H 0T 100%PES SO,22/12/2017,4156
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,22/12/2017,3049
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,22/12/2017,3628
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,22/12/2017,2455
FINE 80/48DEN(8.9TEX) 100%PES SO,22/12/2017,4579
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,23/12/2017,3954
ICESPIN-12 100/24DEN(11.1TEX) 1200T 100%PA SO,24/12/2017,1309
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,24/12/2017,3949
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,25/12/2017,1206
FDY 150/96DEN(16.7TEX) 100%PES SO,25/12/2017,3689
ELASTANO 50/5DEN(5.6TEX) 100%PUE SO,26/12/2017,3584
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,27/12/2017,114
DTY 150/48DEN(16.7TEX) 100%PES SO,28/12/2017,975
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,28/12/2017,1611
ELASTANO 840DEN(93.3TEX) 100%PUE SO,29/12/2017,3085
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,29/12/2017,3317
PES FIADO FLAME CONV 30/1NE(19.8TEX) 100%PES,29/12/2017,3835
VISCOSE OE 40/1NE(14.9TEX) 100%CV,29/12/2017,901
ELASTANO 70DEN(7.8TEX) 100%PUE SO,29/12/2017,4333
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,29/12/2017,3770
PEACH SKIN 135/108DEN(15.0TEX) MI 100%PES SO,29/12/2017,766
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,30/12/2017,3354
VISCOSE FLAME 30/1NE(19.8TEX) 100%CV,31/12/2017,1880
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,01/01/2018,4543
FIO MX-1/69 108DEN(12TEX) 100%PA BR,01/01/2018,4867
ALGODAO OE 24/1NE(24.TEX) 100%CO,02/01/2018,1428
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,02/01/2018,3823
ELASTANO 15DEN(1.7TEX) 100%PUE BR,03/01/2018,790
VISCOSE OE 36/1NE(16.5TEX) 100%CV,03/01/2018,2012
LINACEO 167/48DEN(18.6TEX) 0T 100%PES SO,03/01/2018,3560
POY 270/48DEN(30TEX) 100%PES SO,03/01/2018,2894
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,03/01/2018,1225
ELASTANO 90/6DEN(10TEX) 100%PUE SO,03/01/2018,3809
DTY 2X70/68DEN(15.6TEX) HI 100%PA SO,04/01/2018,1891
DTY 150/48DEN(16.7TEX) 100%PES SO,05/01/2018,119
POY 125/72DEN(13.9TEX) 100%PES SO,05/01/2018,2438
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,05/01/2018,1247
DTY 150/108DEN(16.7TEX) LI 100%PES SO,05/01/2018,245
SDY 30DEN(3.3TEX) 100%PES SO,05/01/2018,2973
VISCOSE OE 40/1NE(14.9TEX) 100%CV,05/01/2018,2016
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,05/01/2018,3110
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,05/01/2018,2090
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,06/01/2018,4271
PES FIADO 120 - 5.000mt 100%PES  - CREME,06/01/2018,1299
FDY 150/96DEN(16.7TEX) 100%PES SO,07/01/2018,3726
GENTOS 130/384DEN(14.4TEX) 100%PES SO,07/01/2018,361
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,08/01/2018,2876
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,09/01/2018,2989
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,10/01/2018,1707
ELASTANO 30DEN(3.3TEX) 100%PUE SO,11/01/2018,3649
PES/CO CONV. 30/1NE(19.8TEX) 52%PES 48%CO,12/01/2018,4026
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,13/01/2018,239
FDY 70/24DEN(7.8TEX) 100%PA SO,14/01/2018,668
CHUVISCO 162/48DEN(18TEX) 100%PES SO,14/01/2018,933
HMY 150/288DEN(16.7TEX) 100%PES SO,15/01/2018,2116
ELASTANO 70DEN(7.8TEX) 100%PES OP,16/01/2018,1136
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,16/01/2018,2288
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,17/01/2018,80
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,18/01/2018,4036
HMY 150/288DEN(16.7TEX) 100%PES SO,18/01/2018,2909
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6) SO,19/01/2018,4767
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,20/01/2018,2243
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,20/01/2018,3625
SDY 50/24DEN(5.6TEX) 100%PES SO,20/01/2018,4014
VISCOSE FLAME 30/1NE(19.8TEX) 100%CV,21/01/2018,423
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,21/01/2018,196
SDY 75/36DEN(8.3TEX) 100%PES BR,21/01/2018,2097
FDY 70/24DEN(7.8TEX) 100%PA SO,21/01/2018,646
MESCLA 150/72DEN(16.7TEX) 800T 100%PES SO,22/01/2018,3844
SDY 200/10DEN(22.2TEX) 100%PES SO,22/01/2018,1526
ALGODAO FLAME CONV. 30/1NE(19.8TEX) 100%CO,22/01/2018,2260
DTY 150/108DEN(16.7TEX) LI 100%PES SO,23/01/2018,1669
CV/PES OE 30/1NE(19.8TEX) 92%CV 8%PES,24/01/2018,4147
FIO MX-1/69 108DEN(12TEX) 55%PES 45%PA BR,24/01/2018,4293
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,25/01/2018,4790
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,25/01/2018,1720
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,25/01/2018,659
LINACEO 300/192DEN(33.3TEX) 0T 100%PES SO,26/01/2018,1116
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,27/01/2018,1752
SALDO DE POY PES100%,28/01/2018,1886
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,29/01/2018,177
VISCOSE OE 36/1NE(16.5TEX) 100%CV,30/01/2018,2286
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,30/01/2018,3951
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,31/01/2018,1614
VISCOSE OE 36/1NE(16.5TEX) 100%CV,01/02/2018,1225
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,01/02/2018,1788
SENSE 100/48DEN(11.1TEX) 1000T 100%PES SO,01/02/2018,1907
VISCOSE OE 30/1NE(19.8TEX) 100%CV,02/02/2018,3313
POY 250/96DEN(27.8TEX) 100%PES SO,02/02/2018,1992
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,03/02/2018,4782
VISCOSE OE 36/1NE(16.5TEX) 100%CV,03/02/2018,4958
ALGODAO PENTEADO 36/1NE(16.5TEX) 100%CO,03/02/2018,2201
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,04/02/2018,3296
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,05/02/2018,2845
DTY 2X70/36DEN(15.6TEX) 100%PA SO,06/02/2018,3155
DTY 70/72DEN(7.8TEX) 100%PA FD,07/02/2018,81
PN 160/72DEN(17.8TEX) 100%PES SO,07/02/2018,4354
POY 270/48DEN(30TEX) 100%PES SO,08/02/2018,532
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,08/02/2018,1023
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,08/02/2018,764
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,08/02/2018,3332
ELASTANO 36DEN(4TEX) 100%PUE SO,09/02/2018,1992
FIO MX-1/139 65DEN(7.2TEX) 52%PA 48%FIBRA METALIZADA BR,09/02/2018,2433
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,09/02/2018,3854
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,09/02/2018,1783
CANCELADO,09/02/2018,2260
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,09/02/2018,1830
ELASTANO 20DEN(2.2TEX) 100%PUE SO,10/02/2018,4746
DTY 150/144DEN(16.7TEX) 2H MI 100%PES SO,10/02/2018,1817
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,10/02/2018,4153
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,11/02/2018,258
FIO MX-1/100 55DEN(6.1TEX) 59%PA 41%PES BR,12/02/2018,1183
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,13/02/2018,2011
CHUVISCO 150/48DEN(16.7TEX) 100%PES SO,13/02/2018,2495
LINACEO 167/48DEN(18.6TEX) 0T 100%PES SO,14/02/2018,3255
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,14/02/2018,596
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,14/02/2018,2958
HMY 100/192DEN(11.1TEX) 100%PES SO,14/02/2018,102
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,14/02/2018,422
NICOMA 20/1NE(29.7TEX) 100%PA SO,15/02/2018,2906
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,15/02/2018,1320
DTY 100/108DEN(11.1TEX) MI 100%PES SO,15/02/2018,3900
ELASTANO 30DEN(3.3TEX) 100%PUE SO,16/02/2018,4048
DTY 2X100/68(11.1TEX) MI 100%PA SO,16/02/2018,4394
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,16/02/2018,1016
PES FIADO 120 - 5.000mt 100%PES  - CREME,16/02/2018,800
VISCOSE OE 40/1NE(14.9TEX) 100%CV,17/02/2018,4813
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,17/02/2018,1964
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,18/02/2018,3777
VISCOSE OE 30/1NE(19.8TEX) 100%CV,18/02/2018,2656
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,19/02/2018,3248
SENSE 100/48DEN(11.1TEX) 1000T 100%PES SO,20/02/2018,1328
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,21/02/2018,1285
SDY 150/48DEN(16.7TEX) 100%PES BR,22/02/2018,1664
SALDO DE POY PES100%,22/02/2018,2145
ALGODAO PENTEADO 26/1NE(22.7TEX) 100%CO,23/02/2018,3814
ELASTANO 19/1DEN(2.1TEX) 100%PUE SO,24/02/2018,4260
POY 245/48DEN(27.2TEX) 100%PES SO,24/02/2018,2745
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,25/02/2018,2502
GENTOS 65/204DEN(7.2TEX) 100%PES SO,26/02/2018,3179
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,27/02/2018,1131
ALGODAO OE 26/1NE(22.7TEX) 100%CO,27/02/2018,4752
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,28/02/2018,117
SILK LIKE 78/72DEN(8.7TEX) 100%PES SO,01/03/2018,2728
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,02/03/2018,4895
SDY 150/96DEN(16.7TEX) 100%PES SO,03/03/2018,1596
